time	S1_D2_HbO	
   3.3110000e+01	   1.7750298e-01	
   3.3165000e+01	   1.8439047e-01	
   3.3220000e+01	   1.5066251e-01	
   3.3275000e+01	   8.2462817e-02	
   3.3330000e+01	  -9.4691388e-03	
   3.3385000e+01	  -1.1158460e-01	
   3.3440000e+01	  -2.0957918e-01	
   3.3495000e+01	  -2.9033341e-01	
   3.3550000e+01	  -3.4349598e-01	
   3.3605000e+01	  -3.6273159e-01	
   3.3660000e+01	  -3.4669066e-01	
   3.3715000e+01	  -2.9949635e-01	
   3.3770000e+01	  -2.3035584e-01	
   3.3825000e+01	  -1.5211745e-01	
   3.3880000e+01	  -7.9066019e-02	
   3.3935000e+01	  -2.4535476e-02	
   3.3990000e+01	   1.1431976e-03	
   3.4045000e+01	  -7.9610138e-03	
   3.4100000e+01	  -5.2782357e-02	
   3.4155000e+01	  -1.2941782e-01	
   3.4210000e+01	  -2.2985700e-01	
   3.4265000e+01	  -3.4313392e-01	
   3.4320000e+01	  -4.5679959e-01	
   3.4375000e+01	  -5.5849619e-01	
   3.4430000e+01	  -6.3738440e-01	
   3.4485000e+01	  -6.8539655e-01	
   3.4540000e+01	  -6.9839258e-01	
   3.4595000e+01	  -6.7704182e-01	
   3.4650000e+01	  -6.2700360e-01	
   3.4705000e+01	  -5.5814354e-01	
   3.4760000e+01	  -4.8293341e-01	
   3.4815000e+01	  -4.1438959e-01	
   3.4870000e+01	  -3.6389134e-01	
   3.4925000e+01	  -3.3929053e-01	
   3.4980000e+01	  -3.4375940e-01	
   3.5035000e+01	  -3.7555204e-01	
   3.5090000e+01	  -4.2855019e-01	
   3.5145000e+01	  -4.9343135e-01	
   3.5200000e+01	  -5.5931553e-01	
   3.5255000e+01	  -6.1562361e-01	
   3.5310000e+01	  -6.5382217e-01	
   3.5365000e+01	  -6.6885960e-01	
